------------------------------------------------------------------------------------------------------------------------------------------------------
Notes: 
  Total_num: the numbers of add/sub in rtl
  Module Name: the module name of the instantiated module calling directly the add/sub sub module
  Location/Inst Name: if linefile info exists(no optimization), print the codes location of add/sub in rtl, else print the inst name
  Count: the amount of lutcarry for add/sub
  Number: the numbers of add/sub with the same lutcarry counts and linefile
  LUT Total Nums from Add and Sub : 290
------------------------------------------------------------------------------------------------------------------------------------------------------

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Detailed RTL Component Info :
-----Add Total Nums : 22
-----Sub Total Nums : 0
-----LUT Total Nums from Add and Sub : 290

Add_Sub: Initial Mapping Report :
|-------------------------------------|---------|---------|---------|---------------------------------------------------------------------------|
|Module Name                          |Type     |Count    |Number   |Location/Inst Name                                                         |
|-------------------------------------|---------|---------|---------|---------------------------------------------------------------------------|
|UID_Function_u0                      |Add      |8        |1        |../../../rtl/source/common/UID_Function.v:252                              |
|-------------------------------------|---------|---------|---------|---------------------------------------------------------------------------|
|UID_Function_u0                      |Add      |9        |1        |../../../rtl/source/common/UID_Function.v:293                              |
|-------------------------------------|---------|---------|---------|---------------------------------------------------------------------------|
|bmc_cpld_i2c_ram_u0                  |Add      |6        |1        |../../../rtl/source/i2c/bmc_cpld_i2c_ram.v:1289                            |
|-------------------------------------|---------|---------|---------|---------------------------------------------------------------------------|
|bmc_cpld_i2c_ram_u0                  |Add      |6        |1        |../../../rtl/source/i2c/bmc_cpld_i2c_ram.v:1331                            |
|-------------------------------------|---------|---------|---------|---------------------------------------------------------------------------|
|fan_pwm_cnt_u0                       |Add      |8        |2        |../../../rtl/source/fan_ctrl/fan_counter.v:52                              |
|-------------------------------------|---------|---------|---------|---------------------------------------------------------------------------|
|i2c_slave_basic0_u0                  |Add      |6        |1        |../../../rtl/source/i2c/i2c_slave_basic0.v:637                             |
|-------------------------------------|---------|---------|---------|---------------------------------------------------------------------------|
|i2c_slave_bmc_u0                     |Add      |16       |1        |../../../rtl/source/i2c/i2c_slave_bmc.v:106                                |
|-------------------------------------|---------|---------|---------|---------------------------------------------------------------------------|
|i2c_slave_bmc_u0                     |Add      |16       |1        |../../../rtl/source/i2c/i2c_slave_bmc.v:116                                |
|-------------------------------------|---------|---------|---------|---------------------------------------------------------------------------|
|i2c_slave_bmc_u0                     |Add      |17       |1        |../../../rtl/source/i2c/i2c_slave_bmc.v:142                                |
|-------------------------------------|---------|---------|---------|---------------------------------------------------------------------------|
|i2c_slave_bmc_u0                     |Add      |17       |1        |bmc_cpld_i2c_ram_u0/i2c_slave_bmc_u0/N119_5                                |
|-------------------------------------|---------|---------|---------|---------------------------------------------------------------------------|
|inst_mcpld_to_scpld_p2s              |Add      |9        |1        |inst_mcpld_to_scpld_p2s/N570_4                                             |
|-------------------------------------|---------|---------|---------|---------------------------------------------------------------------------|
|inst_scpld_to_mcpld_s2p              |Add      |10       |1        |../../../rtl/source/communication/s2p_master.v:103                         |
|-------------------------------------|---------|---------|---------|---------------------------------------------------------------------------|
|pwrseq_master_inst                   |Add      |10       |1        |../../../rtl/source/pwrseq/pwrseq_master.v:247                             |
|-------------------------------------|---------|---------|---------|---------------------------------------------------------------------------|
|timer_gen_inst                       |Add      |6        |1        |../../../rtl/source/common/timer_gen_50mhz.v:95                            |
|-------------------------------------|---------|---------|---------|---------------------------------------------------------------------------|
|timer_gen_inst                       |Add      |18       |1        |../../../rtl/source/common/timer_gen_50mhz.v:97                            |
|-------------------------------------|---------|---------|---------|---------------------------------------------------------------------------|
|uart_master_u1                       |Add      |6        |1        |../../../rtl/source/communication/uart_master.v:221                        |
|-------------------------------------|---------|---------|---------|---------------------------------------------------------------------------|
|uart_master_u2                       |Add      |6        |1        |../../../rtl/source/communication/uart_master.v:221                        |
|-------------------------------------|---------|---------|---------|---------------------------------------------------------------------------|
|Tieta_Feiteng_1001_top               |Add      |28       |1        |../../../rtl/source/Tieta_Feiteng_1001_top.v:2777                          |
|-------------------------------------|---------|---------|---------|---------------------------------------------------------------------------|
|Tieta_Feiteng_1001_top               |Add      |29       |1        |../../../rtl/source/Tieta_Feiteng_1001_top.v:2804                          |
|-------------------------------------|---------|---------|---------|---------------------------------------------------------------------------|
|Tieta_Feiteng_1001_top               |Add      |30       |1        |../../../rtl/source/Tieta_Feiteng_1001_top.v:2844                          |
|-------------------------------------|---------|---------|---------|---------------------------------------------------------------------------|
|Tieta_Feiteng_1001_top               |Add      |21       |1        |../../../rtl/source/Tieta_Feiteng_1001_top.v:4583                          |
|-------------------------------------|---------|---------|---------|---------------------------------------------------------------------------|
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
