#Build: Fabric Compiler 2024.2-SP1.2, Build 187561, May 22 18:16 2025
#Install: C:\studyware\pango\PDS_2024.2-SP1.2-ads\bin
#Application name: pds_shell.exe
#OS: Windows 10 10.0.18363
#Hostname: z02665mj
Generated by Fabric Compiler (version 2024.2-SP1.2 build 187561) at Tue Feb 10 12:27:09 2026
Parameters for debugging are loaded as follows:
Compiling verification operator library.
Compiling common defs.
Compiling prim grid devices.
Compiling place grid timing.
Compiling gate devices.
Compiling gate operators.
Building architecture model.
Loading device packaging model.
Reading design from DB.
Elaborate the liberty model.
I: Multithreading enabled for Timing using a maximum of 4 processes.
E: ConstraintEditor-0099: Port 'io_BMC_I2C3_PAL_S_SDA1_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'io_CPU0_D0_I2C1_PE_STRAP_SDA' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'io_CPU1_D0_I2C1_PE_STRAP_SDA' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'io_MCIO_PWR_EN0_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'io_MCIO_PWR_EN2_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'io_MCIO_PWR_EN3_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'io_MCIO_PWR_EN5_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'io_MCIO_PWR_EN7_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'io_MCIO_PWR_EN8_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_CPLD_M_S_EXCHANGE_S2' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_CPLD_M_S_SGPIO_MISO_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_CPU0_D0_UART1_RX' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_CPU0_D0_UART_SIN' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_CPU0_RISER1_9548_RST_N_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_CPU1_D0_UART1_RX' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_CPU1_D0_UART_SIN' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_CPU1_RISER2_9548_RST_N_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_JACK_CPU0_D0_UART_SOUT' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_JACK_CPU0_UART1_TX' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_JACK_CPU1_D0_UART_SOUT' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_JACK_CPU1_UART1_TX' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_LED1_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_LED2_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_LED3_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_LED4_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_LED5_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_LED6_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_LED7_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_LED8_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_MCIO11_RISER1_PERST2_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_P5V_USB2_EN' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_P5V_USB2_LEFT_EAR_EN' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_BMC_SS_CLK' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_BMC_SS_DATA_OUT' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_BMC_SS_LOAD_N' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_BMC_UART1_RX' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_BMC_UART4_RX' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_CPU0_I3C_SPD_SEL' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_CPU1_I3C_SPD_SEL' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_GPU1_EFUSE_EN_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_GPU2_EFUSE_EN_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_GPU3_EFUSE_EN_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_GPU4_EFUSE_EN_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_LED_HEL_GR_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_LED_HEL_RED_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_LED_NIC_ACT_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_LED_UID_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_M2_0_PERST_N_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_M2_1_PERST_N_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_M2_PWR_EN_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_OCP1_NCSI_EN_N_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_OCP1_SS_CLK_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_OCP1_SS_LD_N_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_OCP2_NCSI_EN_N_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_OCP2_SS_CLK_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_OCP2_SS_LD_N_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_OCP_NCSI_CLK_50M_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_OCP_NCSI_SW_EN_N_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_P1V1_STBY_EN_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_P12V_STBY_EFUSE_EN_R' unspecified I/O constraint.
E: ConstraintEditor-0099: Port 'o_PAL_RISER1_SLOT_PERST_N_R' unspecified I/O constraint.
