#Build: Fabric Compiler 2024.2-SP1.2, Build 187561, May 22 18:16 2025
#Install: C:\studyware\pango\PDS_2024.2-SP1.2-ads\bin
#Application name: pds_shell.exe
#OS: Windows 10 10.0.18363
#Hostname: z02665mj
Generated by Fabric Compiler (version 2024.2-SP1.2 build 187561) at Tue Feb 10 12:26:35 2026
Parameters for debugging are loaded as follows:
Compiling verification operator library.
Compiling common defs.
Compiling prim grid devices.
Compiling place grid timing.
Compiling gate devices.
Compiling gate operators.
Building architecture model.
Loading device packaging model.
C: ConstraintEditor-2019: Port 'i_CHASSIS_ID0_N' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CHASSIS_ID1_N' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CLK_C42_IN_25M' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPLD_M_S_EXCHANGE_S1' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPLD_M_S_SGPIO_CLK' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPLD_M_S_SGPIO_LD_N' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPLD_M_S_SGPIO_MOSI' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU0_D0_I2C1_PE_STRAP_SCL' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU0_D0_TEMP_OVER' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU0_D0_UART1_TX' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU0_D0_UART_SOUT' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU0_D1_TEMP_OVER' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU0_MCIO0_CABLE_ID0_R' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU0_MCIO0_CABLE_ID1_R' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU0_MCIO2_CABLE_ID0_R' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU0_MCIO2_CABLE_ID1_R' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU0_MCIO3_CABLE_ID0_R' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU0_MCIO3_CABLE_ID1_R' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU1_D0_TEMP_OVER' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU1_D0_UART1_TX' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU1_D0_UART_SOUT' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU1_D1_TEMP_OVER' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU1_MCIO0_CABLE_ID0_R' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU1_MCIO0_CABLE_ID1_R' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU1_MCIO2_CABLE_ID0_R' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU1_MCIO2_CABLE_ID1_R' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU1_MCIO3_CABLE_ID0_R' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU1_MCIO3_CABLE_ID1_R' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU_NVME0_PRSNT_N' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU_NVME1_PRSNT_N' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU_NVME4_PRSNT_N' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU_NVME5_PRSNT_N' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU_NVME6_PRSNT_N' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU_NVME7_PRSNT_N' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU_NVME10_PRSNT_N' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU_NVME11_PRSNT_N' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU_NVME14_PRSNT_N' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU_NVME15_PRSNT_N' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU_NVME16_PRSNT_N' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_CPU_NVME17_PRSNT_N' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_FAN_SNS_ALERT' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_JACK_CPU0_D0_UART_SIN' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_JACK_CPU0_UART1_RX' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_JACK_CPU1_D0_UART_SIN' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_JACK_CPU1_UART1_RX' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_MB_CB_RISER1_PRSNT0_N' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_MB_CB_RISER2_PRSNT0_N' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_P12V_STBY_SNS_ALERT' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_PAL_BMC_NCSI_CLK_50M_R' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_PAL_BMC_SS_DATA_IN' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_PAL_BMC_UART4_TX' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_PAL_EXT_RST_N' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_PAL_LOM_FAN_ON_AUX_R' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_PAL_M2_0_PRSNT_N' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_PAL_M2_1_PRSNT_N' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_PAL_OCP1_SS_DATA_IN_R' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_PAL_OCP2_SS_DATA_IN_R' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_PAL_PWR_SW_IN_N' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_PAL_RISER1_MODE_R' unspecified I/O constraint.
C: ConstraintEditor-2019: Port 'i_PAL_RISER1_SS_DATA_IN' unspecified I/O constraint.
